Date,VTI,TLT,IEF,GSG,GLD
2001-06-30,36.76349639892578,,,,
2001-07-31,36.060752868652344,,,,
2001-08-31,33.94930648803711,,,,
2001-09-30,31.00137710571289,,,,
2001-10-31,31.638072967529297,,,,
2001-11-30,34.04764175415039,,,,
2001-12-31,34.538658142089844,,,,
2002-01-31,34.23713302612305,,,,
2002-02-28,33.637428283691406,,,,
2002-03-31,34.87258529663086,,,,
2002-04-30,33.31808090209961,,,,
2002-05-31,32.84810256958008,,,,
2002-06-30,30.583799362182617,,,,
2002-07-31,28.03295135498047,37.51478958129883,41.98189926147461,,
2002-08-31,28.247161865234375,39.58305358886719,43.04011917114258,,
2002-09-30,25.39189338684082,41.26897048950195,44.699195861816406,,
2002-10-31,27.294214248657227,39.74434280395508,44.140113830566406,,
2002-11-30,28.93186378479004,39.38020324707031,43.21791458129883,,
2002-12-31,27.46529197692871,41.16234588623047,44.751155853271484,,
2003-01-31,26.70411491394043,40.92531967163086,44.40831756591797,,
2003-02-28,26.29195785522461,42.19293212890625,45.38704299926758,,
2003-03-31,26.48958969116211,41.61711883544922,45.2145881652832,,
2003-04-30,28.77157211303711,42.05335998535156,45.27690124511719,,
2003-05-31,30.449674606323242,44.71099090576172,46.99334716796875,,
2003-06-30,30.941797256469727,43.90320587158203,46.668331146240234,,
2003-07-31,31.661378860473633,39.52132797241211,44.325523376464844,,
2003-08-31,32.41777038574219,40.037296295166016,44.64030838012695,,
2003-09-30,32.076358795166016,42.4132080078125,46.861324310302734,,
2003-10-31,34.01774215698242,41.127586364746094,46.17417526245117,,
2003-11-30,34.528282165527344,41.26718521118164,46.18452835083008,,
2003-12-31,35.90895080566406,41.82154083251953,47.126853942871094,,
2004-01-31,36.846656799316406,42.59976577758789,47.60530471801758,,
2004-02-29,37.362735748291016,43.57184600830078,48.37267303466797,,
2004-03-31,36.980255126953125,44.18665313720703,49.00008010864258,,
2004-04-30,36.15795135498047,41.43146896362305,46.87042236328125,,
2004-05-31,36.682472229003906,41.324588775634766,46.62150192260742,,
2004-06-30,37.42732620239258,41.759891510009766,46.92609405517578,,
2004-07-31,36.096221923828125,42.39946746826172,47.494659423828125,,
2004-08-31,36.11658477783203,44.16569519042969,48.8386344909668,,
2004-09-30,36.723968505859375,44.58502960205078,48.99608612060547,,
2004-10-31,37.38508987426758,45.37186050415039,49.480770111083984,,
2004-11-30,39.157230377197266,44.284812927246094,48.502140045166016,,45.119998931884766
2004-12-31,40.49867248535156,45.4622688293457,49.06826400756836,,43.79999923706055
2005-01-31,39.48664093017578,47.08464050292969,49.49570846557617,,42.220001220703125
2005-02-28,40.309993743896484,46.391456604003906,48.818443298339844,,43.529998779296875
2005-03-31,39.55539321899414,46.18055725097656,48.62154006958008,,42.81999969482422
2005-04-30,38.68413162231445,47.96551513671875,49.845001220703125,,43.349998474121094
2005-05-31,40.18563461303711,49.47045135498047,50.76130294799805,,41.650001525878906
2005-06-30,40.490325927734375,50.5413818359375,51.004146575927734,,43.439998626708984
2005-07-31,42.26311111450195,48.83268737792969,49.88872146606445,,42.81999969482422
2005-08-31,41.80348205566406,50.53043746948242,50.88668441772461,,43.400001525878906
2005-09-30,42.13441848754883,48.70476531982422,49.995052337646484,,46.70000076293945
2005-10-31,41.14487838745117,47.61334228515625,49.37546157836914,,46.400001525878906
2005-11-30,43.04413986206055,47.94200897216797,49.68426513671875,,49.099998474121094
2005-12-31,43.051727294921875,49.37154769897461,50.36288070678711,,51.58000183105469
2006-01-31,44.43757629394531,48.710697174072266,50.00871276855469,,56.70000076293945
2006-02-28,44.53532028198242,49.250362396240234,49.956966400146484,,56.06999969482422
2006-03-31,45.448490142822266,46.999656677246094,49.27861404418945,,58.099998474121094
2006-04-30,45.88310623168945,45.70603561401367,48.96953582763672,,65.08999633789062
2006-05-31,44.40400695800781,45.618831634521484,48.917240142822266,,64.2300033569336
2006-06-30,44.462799072265625,46.15636444091797,49.02961349487305,,61.22999954223633
2006-07-31,44.410003662109375,47.15486145019531,49.851959228515625,50.75,63.15999984741211
2006-08-31,45.43084716796875,48.59593963623047,50.7310905456543,47.130001068115234,62.290000915527344
2006-09-30,46.45757293701172,49.52652359008789,51.343711853027344,42.06999969482422,59.470001220703125
2006-10-31,48.09759521484375,49.945858001708984,51.6202278137207,41.0,60.2400016784668
2006-11-30,49.218013763427734,51.098670959472656,52.29719161987305,43.04999923706055,64.38999938964844
2006-12-31,49.809417724609375,49.721221923828125,51.630062103271484,40.06999969482422,63.209999084472656
2007-01-31,50.73658752441406,49.226444244384766,51.42338943481445,39.04999923706055,64.83000183105469
2007-02-28,49.91240310668945,50.894710540771484,52.48017120361328,40.5,66.4800033569336
2007-03-31,50.47190856933594,50.029335021972656,52.40765380859375,41.5,65.73999786376953
2007-04-30,52.501914978027344,50.482112884521484,52.725460052490234,41.689998626708984,67.08999633789062
2007-05-31,54.456993103027344,49.31403350830078,51.99076461791992,41.20000076293945,65.54000091552734
2007-06-30,53.49703598022461,48.81428527832031,51.74763870239258,42.4900016784668,64.2699966430664
2007-07-31,51.606117248535156,50.4344367980957,52.915489196777344,44.52000045776367,65.79000091552734
2007-08-31,52.36533737182617,51.33604049682617,54.112972259521484,43.099998474121094,66.5199966430664
2007-09-30,54.379703521728516,51.453189849853516,54.16074752807617,47.16999816894531,73.51000213623047
2007-10-31,55.354339599609375,52.38762283325195,54.7440185546875,50.0,78.62000274658203
2007-11-30,52.85115432739258,55.191078186035156,56.959835052490234,49.77000045776367,77.31999969482422
